Tabela_ID;Titulo_Tabela;Categoria;Brasil;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
1.3.3.2;"Tabela 1.3.3.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade; por Grandes Regiões; segundo a situação do domicílio; o sexo e a posse de telefone móvel celular para uso pessoal - 2015";Possuíam;0.2;0.9;0.7;0.3;0.6;0.5
1.3.3.2;"Tabela 1.3.3.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade; por Grandes Regiões; segundo a situação do domicílio; o sexo e a posse de telefone móvel celular para uso pessoal - 2015";Não possuíam;0.9;2.1;1.7;1.5;2.6;3.3
1.3.3.2;"Tabela 1.3.3.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade; por Grandes Regiões; segundo a situação do domicílio; o sexo e a posse de telefone móvel celular para uso pessoal - 2015";Urbana;0;0;0;0;0;0
1.3.3.2;"Tabela 1.3.3.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade; por Grandes Regiões; segundo a situação do domicílio; o sexo e a posse de telefone móvel celular para uso pessoal - 2015";Possuíam;0.2;0.7;0.4;0.3;0.4;0.4
1.3.3.2;"Tabela 1.3.3.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade; por Grandes Regiões; segundo a situação do domicílio; o sexo e a posse de telefone móvel celular para uso pessoal - 2015";Não possuíam;0.8;2.3;1.5;1.4;2.2;2.7
1.3.3.2;"Tabela 1.3.3.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade; por Grandes Regiões; segundo a situação do domicílio; o sexo e a posse de telefone móvel celular para uso pessoal - 2015";Homens;0;0;0;0;0;0
1.3.3.2;"Tabela 1.3.3.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade; por Grandes Regiões; segundo a situação do domicílio; o sexo e a posse de telefone móvel celular para uso pessoal - 2015";Possuíam;0.2;0.8;0.5;0.3;0.4;0.4
1.3.3.2;"Tabela 1.3.3.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade; por Grandes Regiões; segundo a situação do domicílio; o sexo e a posse de telefone móvel celular para uso pessoal - 2015";Não possuíam;1;2.5;1.7;1.6;2.5;3.1
1.3.3.2;"Tabela 1.3.3.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade; por Grandes Regiões; segundo a situação do domicílio; o sexo e a posse de telefone móvel celular para uso pessoal - 2015";Mulheres;0;0;0;0;0;0
1.3.3.2;"Tabela 1.3.3.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade; por Grandes Regiões; segundo a situação do domicílio; o sexo e a posse de telefone móvel celular para uso pessoal - 2015";Possuíam;0.2;0.6;0.4;0.3;0.5;0.4
1.3.3.2;"Tabela 1.3.3.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade; por Grandes Regiões; segundo a situação do domicílio; o sexo e a posse de telefone móvel celular para uso pessoal - 2015";Não possuíam;0.9;2.5;1.7;1.5;2.6;3.1
1.3.3.2;"Tabela 1.3.3.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade; por Grandes Regiões; segundo a situação do domicílio; o sexo e a posse de telefone móvel celular para uso pessoal - 2015";Rural;0;0;0;0;0;0
